sample,fastq1,fastq2
16_S4,/rg/ivd-meinel/rmeyer/projects_data/shotgun_data/Fastq_file/16_S4_R1_001.fastq.gz,/rg/ivd-meinel/rmeyer/projects_data/shotgun_data/Fastq_file/16_S4_R2_001.fastq.gz
17_S23,/rg/ivd-meinel/rmeyer/projects_data/shotgun_data/Fastq_file/17_S23_R1_001.fastq.gz,/rg/ivd-meinel/rmeyer/projects_data/shotgun_data/Fastq_file/17_S23_R2_001.fastq.gz
